Unit,Chiplet,Release Directory,Age (days),Size,Owner,Release Timestamp,Has Symlinks,Symlink Names,Symlink Owners,Requires Coordination,Recommendation
ccoreb,HPORT,ccoreb_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__2025_10_8_14_35_39,101,174G,roir,2025-10-08 14:35:39,Yes,"SEP_10,SEP_28_FP","roir,raduc",Yes,Coordinate with symlink owners first
ccoreb,HPORT,ccoreb_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__2025_10_8_14_25_49,101,174G,roir,2025-10-08 14:25:49,Yes,prev_SEP_10,roir,Yes,Coordinate with symlink owners first
ccored,HPORT,nbu_signoff_ccored_rbv_2025_06_09_condb_int2_23_5r1_BE_SFNL_snap__new_pins_ipo1361_2025_8_26_11_6_45,145,172G,sorino,2025-08-26 11:06:45,No,None,None,No,Safe to delete
ccoreb,HPORT,ccoreb_rbv_2025_06_09_condb_int2_23_5r1_BE_SFNL_snap__2025_9_8_8_16_16,132,171G,roir,2025-09-08 08:16:16,No,None,None,No,Safe to delete
cscore,NDQ,cscore_rbv_2025_06_09_condb_int2_23_5r1_BE_SFNL_snap_flow_rev13_cts2__2025_9_1_9_17_36,139,143G,ynaim,2025-09-01 09:17:36,Yes,prev_release,ynaim,No,Remove symlinks first
ccorec,HPORT,ccorec_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__2025_10_8_14_34_9,101,135G,roir,2025-10-08 14:34:09,Yes,"SEP_10,SEP_28_FP","roir,raduc",Yes,Coordinate with symlink owners first
ccorec,HPORT,ccorec_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__2025_10_8_14_21_42,101,135G,roir,2025-10-08 14:21:42,Yes,prev_SEP_10,roir,Yes,Coordinate with symlink owners first
ccorec,HPORT,ccorec_rbv_2025_06_09_condb_int2_23_5r1_BE_SFNL_snap__2025_9_8_8_16_42,132,133G,roir,2025-09-08 08:16:42,No,None,None,No,Safe to delete
ccored,HPORT,ccored_rbv_2025_06_09_condb_int2_23_5r1_BE_SFNL_snap__new_pins__2025_9_18_10_29_1,122,131G,sorino,2025-09-18 10:29:01,No,None,None,No,Safe to delete
ccored,HPORT,ccored_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__updated_pins__2025_10_8_16_40_5,101,131G,sorino,2025-10-08 16:40:05,Yes,"SEP_10,SEP_28_FP","sorino,raduc",Yes,Coordinate with symlink owners first
